case_id,target_true_id,target_true_str,target_new_id,target_new_str
0,Q150,French,Q1860,English
5,Q7411,Dutch,Q1860,English
12,Q150,French,Q7737,Russian
14,Q9176,Korean,Q150,French
27,Q150,French,Q7737,Russian
36,Q7737,Russian,Q150,French
52,Q150,French,Q7737,Russian
75,Q150,French,Q7411,Dutch
86,Q9129,Greek,Q7411,Dutch
112,Q1860,English,Q150,French
131,Q7411,Dutch,Q150,French
196,Q150,French,Q1860,English
213,Q7737,Russian,Q7411,Dutch
236,Q150,French,Q7850,Chinese
253,Q150,French,Q7737,Russian
272,Q150,French,Q7411,Dutch
311,Q150,French,Q7411,Dutch
317,Q150,French,Q7411,Dutch
371,Q150,French,Q1860,English
373,Q150,French,Q7737,Russian
389,Q150,French,Q7411,Dutch
412,Q150,French,Q1860,English
427,Q150,French,Q7737,Russian
428,Q7411,Dutch,Q150,French
465,Q150,French,Q7411,Dutch
494,Q1321,Spanish,Q7411,Dutch
584,Q150,French,Q7411,Dutch
628,Q7411,Dutch,Q7737,Russian
676,Q7737,Russian,Q150,French
774,Q150,French,Q1860,English
788,Q150,French,Q7411,Dutch
821,Q150,French,Q7850,Chinese
838,Q150,French,Q1860,English
846,Q150,French,Q7737,Russian
891,Q150,French,Q1321,Spanish
902,Q7411,Dutch,Q150,French
910,Q150,French,Q7737,Russian
1104,Q150,French,Q7737,Russian
1129,Q150,French,Q1860,English
1137,Q150,French,Q1860,English
1142,Q150,French,Q1860,English
1149,Q1321,Spanish,Q150,French
1259,Q7737,Russian,Q150,French
1272,Q7737,Russian,Q150,French
1279,Q7737,Russian,Q150,French
1299,Q150,French,Q7737,Russian
1308,Q150,French,Q7737,Russian
1318,Q7913,Romanian,Q150,French
1322,Q7411,Dutch,Q150,French
1336,Q7411,Dutch,Q7737,Russian
1341,Q150,French,Q652,Italian
1350,Q150,French,Q188,German
1379,Q7411,Dutch,Q150,French
1442,Q150,French,Q7737,Russian
1501,Q150,French,Q7737,Russian
1514,Q150,French,Q1860,English
1539,Q5885,Tamil,Q150,French
1576,Q7737,Russian,Q150,French
1613,Q150,French,Q7737,Russian
1622,Q150,French,Q7411,Dutch
1626,Q150,French,Q1321,Spanish
1663,Q9129,Greek,Q150,French
1664,Q150,French,Q7411,Dutch
1745,Q150,French,Q9027,Swedish
1787,Q7850,Chinese,Q150,French
1886,Q7411,Dutch,Q150,French
1892,Q150,French,Q7411,Dutch
1897,Q7737,Russian,Q150,French
1930,Q150,French,Q7411,Dutch
1964,Q150,French,Q7737,Russian
2004,Q150,French,Q7737,Russian
2032,Q652,Italian,Q7737,Russian
2061,Q1860,English,Q150,French
2074,Q1860,English,Q1321,Spanish
2086,Q150,French,Q7737,Russian
2089,Q150,French,Q7411,Dutch
2092,Q150,French,Q7737,Russian
2138,Q150,French,Q7737,Russian
2191,Q150,French,Q7411,Dutch
2266,Q150,French,Q7737,Russian
2279,Q150,French,Q9027,Swedish
2305,Q150,French,Q7737,Russian
2335,Q150,French,Q652,Italian
2347,Q7737,Russian,Q150,French
