,case_id,target_true_id,target_true_str,target_new_id,target_new_str
0,22775,Q3776576,Clunie,Q60,New York City
1,22776,Q1415,Indiana,Q1741,Vienna
2,22777,Q18125,Manchester,Q374745,Morrison
3,22778,Q11736,Tianjin,Q863832,Bingley
4,22779,Q13362,Ferrara,Q60,New York City
5,22780,Q287148,Épernon,Q374745,Morrison
6,22781,Q2861,Rostock,Q374745,Morrison
7,22782,Q1741,Vienna,Q60,New York City
8,22783,Q3834,Constance,Q374745,Morrison
9,22784,Q90,Paris,Q60,New York City
10,22785,Q374745,Morrison,Q84,London
11,22786,Q1297,Chicago,Q863832,Bingley
12,22787,Q54163,Franklin County,Q90,Paris
13,22788,Q2598,Watford,Q60,New York City
14,22789,Q1720,Mainz,Q60,New York City
15,22790,Q649,Moscow,Q374745,Morrison
16,22791,Q727,Amsterdam,Q60,New York City
17,22792,Q1735,Innsbruck,Q60,New York City
18,22793,Q1781,Budapest,Q374745,Morrison
19,22794,Q1781,Budapest,Q60,New York City
20,22795,Q84,London,Q60,New York City
21,22796,Q1022,Stuttgart,Q60,New York City
22,22797,Q60,New York City,Q1022,Stuttgart
23,22798,Q863832,Bingley,Q60,New York City
24,22799,Q90,Paris,Q60,New York City
25,22800,Q123709,Dundee,Q60,New York City
26,22801,Q1003286,Cottingham,Q374745,Morrison
27,22802,Q16568,Jacksonville,Q1741,Vienna
28,22803,Q4083,Eschweiler,Q60,New York City
29,22804,Q36600,The Hague,Q60,New York City
30,22805,Q60,New York City,Q863832,Bingley
31,22806,Q2640897,Aleksotas,Q374745,Morrison
32,22807,Q4734309,Alokopennesos ,Q60,New York City
33,22808,Q823531,St Kilda,Q90,Paris
34,22809,Q80484,Patna,Q84,London
35,22810,Q47554,Toruń,Q60,New York City
36,22811,Q734064,Milínov,Q60,New York City
37,22812,Q446314,Altus,Q1022,Stuttgart
38,22813,Q517311,Bleicherode,Q374745,Morrison
39,22814,Q198190,Shatura,Q60,New York City
40,22815,Q3138,Trier,Q60,New York City
41,22816,Q90,Paris,Q374745,Morrison
42,22817,Q84,London,Q374745,Morrison
