,case_id,target_true_id,target_true_str,target_new_id,target_new_str
0,21920,Q6581097,male,Q6581072,female
1,21921,Q6581097,male,Q6581072,female
2,21922,Q6581097,male,Q6581072,female
3,21923,Q6581097,male,Q6581072,female
4,21924,Q6581097,male,Q6581072,female
5,21925,Q6581097,male,Q6581072,female
6,21926,Q6581097,male,Q6581072,female
7,21927,Q6581097,male,Q6581072,female
8,21928,Q6581097,male,Q6581072,female
9,21929,Q6581097,male,Q6581072,female
10,21930,Q6581097,male,Q6581072,female
11,21931,Q6581072,female,Q6581097,male
12,21932,Q6581097,male,Q6581072,female
13,21933,Q6581097,male,Q6581072,female
14,21934,Q6581097,male,Q6581072,female
15,21935,Q6581072,female,Q6581097,male
16,21936,Q6581097,male,Q6581072,female
17,21937,Q6581097,male,Q6581072,female
18,21938,Q6581097,male,Q6581072,female
19,21939,Q6581097,male,Q6581072,female
20,21940,Q6581097,male,Q6581072,female
21,21941,Q6581097,male,Q6581072,female
22,21942,Q6581097,male,Q6581072,female
23,21943,Q6581097,male,Q6581072,female
24,21944,Q6581072,female,Q6581097,male
25,21945,Q6581097,male,Q6581072,female
26,21946,Q6581072,female,Q6581097,male
27,21947,Q6581097,male,Q6581072,female
28,21948,Q6581097,male,Q6581072,female
29,21949,Q6581097,male,Q6581072,female
30,21950,Q6581097,male,Q6581072,female
31,21951,Q6581097,male,Q6581072,female
32,21952,Q6581097,male,Q6581072,female
33,21953,Q6581097,male,Q6581072,female
34,21954,Q6581097,male,Q6581072,female
35,21955,Q6581097,male,Q6581072,female
36,21956,Q6581097,male,Q6581072,female
37,21957,Q6581097,male,Q6581072,female
38,21958,Q6581097,male,Q6581072,female
39,21959,Q6581097,male,Q6581072,female
40,21960,Q6581097,male,Q6581072,female
41,21961,Q6581097,male,Q6581072,female
42,21962,Q6581097,male,Q6581072,female
43,21963,Q6581097,male,Q6581072,female
44,21964,Q6581097,male,Q6581072,female
45,21965,Q6581097,male,Q6581072,female
46,21966,Q6581097,male,Q6581072,female
47,21967,Q6581097,male,Q6581072,female
48,21968,Q6581097,male,Q6581072,female
49,21969,Q6581097,male,Q6581072,female
50,21970,Q6581097,male,Q6581072,female
51,21971,Q6581097,male,Q6581072,female
52,21972,Q6581097,male,Q6581072,female
53,21973,Q6581097,male,Q6581072,female
54,21974,Q6581097,male,Q6581072,female
55,21975,Q6581097,male,Q6581072,female
56,21976,Q6581097,male,Q6581072,female
57,21977,Q6581097,male,Q6581072,female
58,21978,Q6581097,male,Q6581072,female
59,21979,Q6581097,male,Q6581072,female
60,21980,Q6581097,male,Q6581072,female
61,21981,Q6581097,male,Q6581072,female
62,21982,Q6581097,male,Q6581072,female
63,21983,Q6581097,male,Q6581072,female
64,21984,Q6581097,male,Q6581072,female
65,21985,Q6581097,male,Q6581072,female
66,21986,Q6581097,male,Q6581072,female
67,21987,Q6581097,male,Q6581072,female
68,21988,Q6581097,male,Q6581072,female
69,21989,Q6581097,male,Q6581072,female
70,21990,Q6581097,male,Q6581072,female
71,21991,Q6581097,male,Q6581072,female
72,21992,Q6581097,male,Q6581072,female
73,21993,Q6581097,male,Q6581072,female
74,21994,Q6581097,male,Q6581072,female
75,21995,Q6581097,male,Q6581072,female
76,21996,Q6581097,male,Q6581072,female
77,21997,Q6581097,male,Q6581072,female
78,21998,Q6581097,male,Q6581072,female
79,21999,Q6581097,male,Q6581072,female
80,22000,Q6581097,male,Q6581072,female
81,22001,Q6581097,male,Q6581072,female
82,22002,Q6581097,male,Q6581072,female
83,22003,Q6581097,male,Q6581072,female
84,22004,Q6581097,male,Q6581072,female
85,22005,Q6581097,male,Q6581072,female
86,22006,Q6581097,male,Q6581072,female
87,22007,Q6581097,male,Q6581072,female
88,22008,Q6581072,female,Q6581097,male
89,22009,Q6581097,male,Q6581072,female
90,22010,Q6581097,male,Q6581072,female
91,22011,Q6581097,male,Q6581072,female
92,22012,Q6581097,male,Q6581072,female
93,22013,Q6581097,male,Q6581072,female
94,22014,Q6581097,male,Q6581072,female
95,22015,Q6581097,male,Q6581072,female
96,22016,Q6581097,male,Q6581072,female
97,22017,Q6581097,male,Q6581072,female
98,22018,Q6581097,male,Q6581072,female
99,22019,Q6581097,male,Q6581072,female
100,22020,Q6581097,male,Q6581072,female
101,22021,Q6581097,male,Q6581072,female
102,22022,Q6581097,male,Q6581072,female
103,22023,Q6581097,male,Q6581072,female
104,22024,Q6581097,male,Q6581072,female
105,22025,Q6581097,male,Q6581072,female
106,22026,Q6581097,male,Q6581072,female
107,22027,Q6581097,male,Q6581072,female
108,22028,Q6581097,male,Q6581072,female
109,22029,Q6581097,male,Q6581072,female
110,22030,Q6581097,male,Q6581072,female
111,22031,Q6581097,male,Q6581072,female
112,22032,Q6581097,male,Q6581072,female
113,22033,Q6581097,male,Q6581072,female
114,22034,Q6581097,male,Q6581072,female
115,22035,Q6581097,male,Q6581072,female
116,22036,Q6581097,male,Q6581072,female
117,22037,Q6581097,male,Q6581072,female
118,22038,Q6581097,male,Q6581072,female
119,22039,Q6581097,male,Q6581072,female
120,22040,Q6581097,male,Q6581072,female
121,22041,Q6581097,male,Q6581072,female
122,22042,Q6581097,male,Q6581072,female
123,22043,Q6581097,male,Q6581072,female
124,22044,Q6581097,male,Q6581072,female
125,22045,Q6581097,male,Q6581072,female
126,22046,Q6581097,male,Q6581072,female
127,22047,Q6581097,male,Q6581072,female
128,22048,Q6581097,male,Q6581072,female
129,22049,Q6581097,male,Q6581072,female
130,22050,Q6581097,male,Q6581072,female
131,22051,Q6581097,male,Q6581072,female
132,22052,Q6581097,male,Q6581072,female
133,22053,Q6581097,male,Q6581072,female
134,22054,Q6581097,male,Q6581072,female
135,22055,Q6581097,male,Q6581072,female
136,22056,Q6581097,male,Q6581072,female
137,22057,Q6581097,male,Q6581072,female
138,22058,Q6581097,male,Q6581072,female
139,22059,Q6581097,male,Q6581072,female
140,22060,Q6581097,male,Q6581072,female
141,22061,Q6581097,male,Q6581072,female
142,22062,Q6581097,male,Q6581072,female
143,22063,Q6581097,male,Q6581072,female
144,22064,Q6581097,male,Q6581072,female
